charged_moves,elite_charged_moves,elite_fast_moves,fast_moves,form,pokemon_name
['Struggle'],[],[],"['Bug Bite', 'Poison Sting']",Normal,Kakuna
"['Sludge Bomb', 'Aerial Ace', 'X Scissor', 'Fell Stinger']",['Drill Run'],['Bug Bite'],"['Infestation', 'Poison Jab']",Normal,Beedrill
"['Twister', 'Aerial Ace', 'Air Cutter']",[],[],"['Quick Attack', 'Tackle']",Normal,Pidgey
"['Twister', 'Aerial Ace', 'Air Cutter']",[],[],"['Wing Attack', 'Steel Wing']",Normal,Pidgeotto
"['Hurricane', 'Aerial Ace', 'Brave Bird', 'Feather Dance']",['Air Cutter'],"['Wing Attack', 'Gust']","['Air Slash', 'Steel Wing']",Normal,Pidgeot
"['Crunch', 'Hyper Fang', 'Shadow Ball']",[],[],"['Tackle', 'Quick Attack']",Alola,Rattata
"['Dig', 'Hyper Fang', 'Body Slam']",[],[],"['Tackle', 'Quick Attack']",Normal,Rattata
"['Crunch', 'Hyper Fang', 'Hyper Beam']",[],[],"['Bite', 'Quick Attack']",Alola,Raticate
"['Dig', 'Hyper Fang', 'Hyper Beam']",[],[],"['Bite', 'Quick Attack']",Normal,Raticate
"['Aerial Ace', 'Drill Peck', 'Sky Attack']",['Twister'],[],"['Peck', 'Quick Attack']",Normal,Spearow
"['Aerial Ace', 'Drill Run', 'Sky Attack', 'Fly']",['Twister'],[],"['Peck', 'Steel Wing']",Normal,Fearow
"['Wrap', 'Poison Fang', 'Sludge Bomb']",['Gunk Shot'],[],"['Poison Sting', 'Acid']",Normal,Ekans
"['Dark Pulse', 'Sludge Wave', 'Gunk Shot', 'Acid Spray']",[],[],"['Bite', 'Acid', 'Dragon Tail']",Normal,Arbok
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Adventure_hat_2020,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Copy_2019,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge', 'Fly']",[],[],"['Thunder Shock', 'Quick Attack']",Costume_2020,Pikachu
"['Thunder Punch', 'Play Rough']",[],['Present'],"['Thunder Shock', 'Charm']",Doctor,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Fall_2019,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge', 'Fly']",[],['Present'],"['Thunder Shock', 'Quick Attack']",Flying_01,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge', 'Fly']",[],['Present'],"['Thunder Shock', 'Quick Attack']",Flying_02,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge', 'Fly']",[],['Present'],"['Thunder Shock', 'Quick Attack']",Flying_03,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge', 'Fly']",[],['Present'],"['Thunder Shock', 'Quick Attack']",Flying_04,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge', 'Fly']",[],['Present'],"['Thunder Shock', 'Quick Attack']",Flying_5th_anniv,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge', 'Fly']",[],[],"['Thunder Shock', 'Quick Attack']",Flying_okinawa,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Gofest_2022,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']",[],[],"['Thunder Shock', 'Quick Attack']",Gofest_2024_mtiara,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']",[],[],"['Thunder Shock', 'Quick Attack']",Gofest_2024_stiara,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']",[],[],"['Thunder Shock', 'Quick Attack']",Gotour_2024_a,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']",[],[],"['Thunder Shock', 'Quick Attack']",Gotour_2024_a_02,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']",[],[],"['Thunder Shock', 'Quick Attack']",Gotour_2024_b,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']",[],[],"['Thunder Shock', 'Quick Attack']",Gotour_2024_b_02,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']",['Volt Tackle'],[],"['Thunder Shock', 'Quick Attack']",Horizons,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']",[],[],"['Thunder Shock', 'Quick Attack']",Jeju,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']",[],[],"['Thunder Shock', 'Quick Attack']",Kariyushi,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Normal,Pikachu
"['Draining Kiss', 'Thunder Punch', 'Play Rough']",[],[],"['Thunder Shock', 'Charm']",Pop_star,Pikachu
"['Meteor Mash', 'Thunder Punch', 'Play Rough']",[],[],"['Thunder Shock', 'Charm']",Rock_star,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Summer_2023_a,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Summer_2023_b,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Summer_2023_c,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Summer_2023_d,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Summer_2023_e,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']",[],[],"['Thunder Shock', 'Quick Attack']",Tshirt_01,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']",[],[],"['Thunder Shock', 'Quick Attack']",Tshirt_02,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']",[],[],"['Thunder Shock', 'Quick Attack']",Tshirt_03,Pikachu
"['Flying Press', 'Thunder Punch', 'Play Rough']",[],[],"['Thunder Shock', 'Charm']",Vs_2019,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Wcs_2022,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Wcs_2023,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Wcs_2024,Pikachu
"['Discharge', 'Thunderbolt', 'Wild Charge']","['Surf', 'Thunder']",['Present'],"['Thunder Shock', 'Quick Attack']",Winter_2020,Pikachu
"['Psychic', 'Thunder Punch', 'Wild Charge', 'Grass Knot', 'Trailblaze']",[],[],"['Volt Switch', 'Spark', 'Thunder Shock']",Alola,Raichu
"['Brick Break', 'Thunder Punch', 'Wild Charge', 'Skull Bash', 'Trailblaze']",['Thunder'],[],"['Volt Switch', 'Spark', 'Charm', 'Thunder Shock']",Normal,Raichu
"['Blizzard', 'Gyro Ball', 'Night Slash']",[],[],"['Metal Claw', 'Powder Snow']",Alola,Sandshrew
"['Dig', 'Rock Slide', 'Sand Tomb']",['Rock Tomb'],[],"['Scratch', 'Mud Shot', 'Sand Attack']",Normal,Sandshrew
"['Blizzard', 'Gyro Ball', 'Bulldoze', 'Ice Punch', 'Drill Run', 'Aerial Ace']",[],['Shadow Claw'],"['Metal Claw', 'Powder Snow']",Alola,Sandslash
"['Earthquake', 'Rock Tomb', 'Bulldoze', 'Scorching Sands']",['Night Slash'],[],"['Metal Claw', 'Mud Shot', 'Sand Attack']",Normal,Sandslash
"['Poison Fang', 'Body Slam', 'Sludge Bomb']",[],[],"['Bite', 'Poison Sting']",Normal,Nidoran♀
"['Poison Fang', 'Dig', 'Sludge Bomb', 'Thunderbolt']",[],[],"['Bite', 'Poison Sting']",Normal,Nidorina
"['Earthquake', 'Sludge Wave', 'Stone Edge', 'Earth Power', 'Poison Fang']",[],[],"['Poison Jab', 'Bite']",Normal,Nidoqueen
"['Horn Attack', 'Body Slam', 'Sludge Bomb']",[],[],"['Peck', 'Poison Sting']",Normal,Nidoran♂
"['Horn Attack', 'Dig', 'Sludge Bomb', 'Ice Beam']",[],[],"['Poison Jab', 'Poison Sting']",Normal,Nidorino
"['Earthquake', 'Sludge Wave', 'Megahorn', 'Earth Power', 'Sand Tomb']",[],['Fury Cutter'],"['Poison Jab', 'Iron Tail', 'Double Kick']",Normal,Nidoking
"['Disarming Voice', 'Body Slam', 'Moonblast', 'Swift']",[],[],"['Pound', 'Zen Headbutt']",Normal,Clefairy
"['Dazzling Gleam', 'Psychic', 'Moonblast', 'Meteor Mash', 'Swift', 'Draining Kiss']",[],['Pound'],"['Charge Beam', 'Zen Headbutt', 'Charm', 'Fairy Wind']",Normal,Clefable
"['Dark Pulse', 'Ice Beam', 'Blizzard', 'Weather Ball Ice']",[],[],"['Zen Headbutt', 'Powder Snow']",Alola,Vulpix
"['Body Slam', 'Flamethrower', 'Flame Charge', 'Weather Ball Fire']",[],[],"['Quick Attack', 'Ember']",Normal,Vulpix
"['Dazzling Gleam', 'Ice Beam', 'Blizzard', 'Psyshock', 'Weather Ball Ice']",[],[],"['Feint Attack', 'Powder Snow', 'Charm']",Alola,Ninetales
"['Heat Wave', 'Overheat', 'Solar Beam', 'Psyshock', 'Weather Ball Fire', 'Scorching Sands']","['Fire Blast', 'Flamethrower']",['Ember'],"['Feint Attack', 'Fire Spin']",Normal,Ninetales
"['Disarming Voice', 'Gyro Ball', 'Dazzling Gleam', 'Swift']","['Play Rough', 'Body Slam']",[],"['Pound', 'Feint Attack']",Normal,Jigglypuff
"['Dazzling Gleam', 'Hyper Beam', 'Play Rough', 'Ice Beam', 'Disarming Voice', 'Icy Wind', 'Swift']",[],[],"['Pound', 'Feint Attack', 'Charm']",Normal,Wigglytuff
"['Poison Fang', 'Air Cutter', 'Swift']",['Sludge Bomb'],[],"['Quick Attack', 'Bite']",Normal,Zubat
"['Shadow Ball', 'Air Cutter', 'Poison Fang']",['Ominous Wind'],[],"['Wing Attack', 'Bite']",Normal,Golbat
"['Seed Bomb', 'Sludge Bomb', 'Moonblast']",[],[],"['Razor Leaf', 'Acid']",Normal,Oddish
"['Petal Blizzard', 'Sludge Bomb', 'Moonblast']",[],[],"['Razor Leaf', 'Acid']",Normal,Gloom
"['Petal Blizzard', 'Solar Beam', 'Moonblast', 'Sludge Bomb']",[],[],"['Razor Leaf', 'Acid']",Normal,Vileplume
"['Cross Poison', 'X Scissor', 'Seed Bomb']",[],[],"['Scratch', 'Bug Bite']",Normal,Paras
"['Cross Poison', 'X Scissor', 'Solar Beam']",[],['Bug Bite'],"['Struggle Bug', 'Fury Cutter']",Normal,Parasect
"['Poison Fang', 'Psybeam', 'Signal Beam']",[],[],"['Bug Bite', 'Confusion']",Normal,Venonat
"['Silver Wind', 'Psychic', 'Bug Buzz', 'Poison Fang']",[],['Bug Bite'],"['Infestation', 'Confusion']",Normal,Venomoth
"['Dig', 'Mud Bomb', 'Rock Tomb']",[],[],"['Mud Slap', 'Metal Claw', 'Sand Attack']",Alola,Diglett
"['Dig', 'Mud Bomb', 'Rock Tomb']",[],[],"['Mud Slap', 'Scratch', 'Mud Shot']",Normal,Diglett
"['Earthquake', 'Mud Bomb', 'Iron Head']",[],[],"['Metal Claw', 'Mud Slap', 'Sand Attack']",Alola,Dugtrio
"['Earthquake', 'Mud Bomb', 'Stone Edge']",[],[],"['Sucker Punch', 'Mud Slap', 'Mud Shot']",Normal,Dugtrio
"['Night Slash', 'Dark Pulse', 'Foul Play', 'Trailblaze']",[],[],"['Scratch', 'Bite']",Alola,Meowth
"['Night Slash', 'Gyro Ball', 'Dig', 'Trailblaze']",[],[],"['Scratch', 'Metal Claw']",Galarian,Meowth
"['Night Slash', 'Dark Pulse', 'Foul Play']",['Body Slam'],[],"['Scratch', 'Bite']",Normal,Meowth
"['Foul Play', 'Dark Pulse', 'Play Rough', 'Payback', 'Trailblaze']",[],[],"['Scratch', 'Feint Attack']",Alola,Persian
"['Foul Play', 'Power Gem', 'Play Rough', 'Payback']",['Night Slash'],[],"['Scratch', 'Feint Attack']",Normal,Persian
"['Psybeam', 'Aqua Tail', 'Cross Chop']",[],[],"['Water Gun', 'Zen Headbutt']",Normal,Psyduck
"['Psychic', 'Hydro Pump', 'Ice Beam', 'Bubble Beam', 'Synchronoise', 'Cross Chop', 'Liquidation']",[],[],"['Water Gun', 'Confusion']",Normal,Golduck
"['Cross Chop', 'Low Sweep', 'Brick Break']",[],[],"['Karate Chop', 'Scratch']",Normal,Mankey
"['Close Combat', 'Low Sweep', 'Night Slash', 'Ice Punch']",['Cross Chop'],['Karate Chop'],"['Low Kick', 'Counter']",Normal,Primeape
"['Rock Slide', 'Crunch', 'Flamethrower']",[],[],"['Ember', 'Bite']",Hisuian,Growlithe
"['Flame Wheel', 'Body Slam', 'Flamethrower']",[],[],"['Ember', 'Bite']",Normal,Growlithe
"['Rock Slide', 'Wild Charge', 'Crunch', 'Flamethrower']",[],[],"['Fire Fang', 'Snarl', 'Rock Smash']",Hisuian,Arcanine
"['Fire Blast', 'Wild Charge', 'Crunch', 'Flamethrower', 'Psychic Fangs', 'Scorching Sands']",['Bulldoze'],['Bite'],"['Fire Fang', 'Snarl', 'Thunder Fang']",Normal,Arcanine
"['Bubble Beam', 'Mud Bomb', 'Body Slam']",[],[],"['Bubble', 'Mud Shot']",Normal,Poliwag
"['Water Pulse', 'Mud Bomb', 'Bubble Beam']",['Scald'],[],"['Bubble', 'Mud Shot']",Normal,Poliwhirl
"['Hydro Pump', 'Dynamic Punch', 'Ice Punch', 'Power Up Punch', 'Scald', 'Icy Wind']",['Submission'],['Counter'],"['Bubble', 'Rock Smash', 'Mud Shot']",Normal,Poliwrath
"['Psyshock', 'Signal Beam', 'Shadow Ball']",[],[],"['Zen Headbutt', 'Charge Beam']",Normal,Abra
"['Psybeam', 'Dazzling Gleam', 'Shadow Ball']",[],[],"['Psycho Cut', 'Confusion']",Normal,Kadabra
"['Futuresight', 'Focus Blast', 'Shadow Ball', 'Fire Punch']","['Dazzling Gleam', 'Psychic']",['Counter'],"['Psycho Cut', 'Confusion']",Normal,Alakazam
"['Low Sweep', 'Brick Break', 'Cross Chop']",[],['Low Kick'],"['Rock Smash', 'Karate Chop']",Normal,Machop
"['Submission', 'Brick Break', 'Dynamic Punch']",['Cross Chop'],[],"['Low Kick', 'Karate Chop']",Normal,Machoke
"['Heavy Slam', 'Dynamic Punch', 'Close Combat', 'Rock Slide', 'Cross Chop']","['Stone Edge', 'Submission', 'Payback']",['Karate Chop'],"['Bullet Punch', 'Counter']",Normal,Machamp
"['Power Whip', 'Sludge Bomb', 'Wrap']",[],[],"['Vine Whip', 'Acid']",Normal,Bellsprout
"['Power Whip', 'Sludge Bomb', 'Seed Bomb']",[],['Razor Leaf'],"['Bullet Seed', 'Acid']",Normal,Weepinbell
"['Leaf Blade', 'Sludge Bomb', 'Solar Beam', 'Leaf Tornado', 'Acid Spray']",[],['Magical Leaf'],"['Razor Leaf', 'Acid']",Normal,Victreebel
"['Bubble Beam', 'Water Pulse', 'Wrap']",[],[],"['Bubble', 'Poison Sting']",Normal,Tentacool
"['Hydro Pump', 'Sludge Wave', 'Blizzard', 'Acid Spray', 'Scald']",[],[],"['Acid', 'Poison Jab']",Normal,Tentacruel
"['Rock Slide', 'Rock Tomb', 'Thunderbolt']",[],[],"['Rock Throw', 'Volt Switch']",Alola,Geodude
"['Rock Slide', 'Rock Tomb', 'Dig']",[],[],"['Rock Throw', 'Tackle']",Normal,Geodude
"['Thunderbolt', 'Stone Edge', 'Rock Blast']",[],[],"['Rock Throw', 'Volt Switch']",Alola,Graveler
"['Dig', 'Stone Edge', 'Rock Blast']",['Rock Slide'],[],"['Rock Throw', 'Mud Slap', 'Mud Shot']",Normal,Graveler
"['Stone Edge', 'Rock Blast', 'Wild Charge']",[],['Rollout'],"['Rock Throw', 'Volt Switch']",Alola,Golem
"['Stone Edge', 'Rock Blast', 'Earthquake', 'Ancient Power']",[],[],"['Rock Throw', 'Mud Slap', 'Mud Shot']",Normal,Golem
"['Play Rough', 'Psybeam', 'Swift']",[],[],"['Low Kick', 'Psycho Cut']",Galarian,Ponyta
"['Flame Charge', 'Flame Wheel', 'Stomp']",['Fire Blast'],[],"['Tackle', 'Ember']",Normal,Ponyta
"['Play Rough', 'Psychic', 'Body Slam', 'Megahorn', 'High Horsepower']",[],[],"['Low Kick', 'Psycho Cut', 'Fairy Wind']",Galarian,Rapidash
"['Fire Blast', 'Drill Run', 'Heat Wave', 'Flame Charge', 'Scorching Sands']",[],['Ember'],"['Low Kick', 'Fire Spin', 'Incinerate']",Normal,Rapidash
"['Water Pulse', 'Psyshock', 'Psychic']",[],[],"['Water Gun', 'Confusion']",2020,Slowpoke
"['Surf', 'Psyshock', 'Psychic']",[],[],"['Confusion', 'Iron Tail']",Galarian,Slowpoke
"['Water Pulse', 'Psyshock', 'Psychic']",[],[],"['Water Gun', 'Confusion']",Normal,Slowpoke
"['Water Pulse', 'Psychic', 'Ice Beam', 'Scald']",['Surf'],[],"['Water Gun', 'Confusion']",2021,Slowbro
"['Focus Blast', 'Psychic', 'Sludge Bomb', 'Scald', 'Brutal Swing']",['Surf'],[],"['Confusion', 'Poison Jab']",Galarian,Slowbro
"['Water Pulse', 'Psychic', 'Ice Beam', 'Scald']",['Surf'],[],"['Water Gun', 'Confusion']",Normal,Slowbro
"['Discharge', 'Magnet Bomb', 'Thunderbolt']",[],[],"['Spark', 'Thunder Shock', 'Volt Switch', 'Metal Sound']",Normal,Magnemite
"['Zap Cannon', 'Magnet Bomb', 'Flash Cannon', 'Discharge']",[],[],"['Spark', 'Charge Beam', 'Thunder Shock', 'Volt Switch', 'Metal Sound']",Normal,Magneton
"['Brick Break', 'Brave Bird', 'Leaf Blade']",[],[],"['Rock Smash', 'Fury Cutter']",Galarian,Farfetch’d
"['Aerial Ace', 'Air Cutter', 'Leaf Blade']",[],['Cut'],"['Air Slash', 'Fury Cutter']",Normal,Farfetch’d
"['Drill Peck', 'Aerial Ace', 'Brave Bird']",['Swift'],[],"['Peck', 'Quick Attack']",Normal,Doduo
"['Drill Peck', 'Aerial Ace', 'Brave Bird']",['Air Cutter'],[],"['Feint Attack', 'Steel Wing']",Normal,Dodrio
"['Aurora Beam', 'Icy Wind', 'Aqua Tail']",['Aqua Jet'],['Water Gun'],"['Ice Shard', 'Lick']",Normal,Seel
"['Aurora Beam', 'Water Pulse', 'Blizzard', 'Drill Run', 'Liquidation']","['Aqua Jet', 'Icy Wind']",['Ice Shard'],"['Frost Breath', 'Iron Tail']",Normal,Dewgong
"['Crunch', 'Gunk Shot', 'Sludge Bomb']",[],[],"['Poison Jab', 'Bite']",Alola,Grimer
"['Sludge', 'Mud Bomb', 'Sludge Bomb']",[],[],"['Poison Jab', 'Mud Slap']",Normal,Grimer
"['Dark Pulse', 'Gunk Shot', 'Sludge Wave', 'Acid Spray']",[],[],"['Bite', 'Poison Jab', 'Snarl']",Alola,Muk
"['Dark Pulse', 'Gunk Shot', 'Sludge Wave', 'Thunder Punch', 'Acid Spray']",[],['Lick'],"['Infestation', 'Poison Jab']",Normal,Muk
"['Bubble Beam', 'Water Pulse', 'Icy Wind', 'Razor Shell']",[],[],"['Ice Shard', 'Tackle']",Normal,Shellder
"['Aurora Beam', 'Hydro Pump', 'Avalanche', 'Icy Wind', 'Liquidation', 'Razor Shell']",['Blizzard'],[],"['Frost Breath', 'Ice Shard']",Normal,Cloyster
"['Night Shade', 'Dark Pulse', 'Sludge Bomb']",['Ominous Wind'],['Sucker Punch'],"['Lick', 'Astonish']",Normal,Gastly
"['Shadow Punch', 'Dark Pulse', 'Sludge Bomb', 'Shadow Ball', 'Ice Punch']",[],['Lick'],"['Shadow Claw', 'Astonish']",Normal,Haunter
"['Shadow Ball', 'Focus Blast', 'Sludge Bomb']","['Sludge Wave', 'Dark Pulse', 'Psychic', 'Shadow Punch']",['Lick'],"['Sucker Punch', 'Hex', 'Shadow Claw']",Costume_2020,Gengar
"['Shadow Ball', 'Focus Blast', 'Sludge Bomb']","['Sludge Wave', 'Dark Pulse', 'Psychic', 'Shadow Punch']",['Lick'],"['Sucker Punch', 'Hex', 'Shadow Claw']",Normal,Gengar
"['Sand Tomb', 'Stone Edge', 'Heavy Slam', 'Breaking Swipe']","['Iron Head', 'Rock Slide']",[],"['Rock Throw', 'Tackle']",Normal,Onix
"['Psybeam', 'Psyshock', 'Psychic']",[],[],"['Pound', 'Confusion']",Normal,Drowzee
"['Futuresight', 'Psychic', 'Focus Blast', 'Fire Punch', 'Ice Punch', 'Thunder Punch', 'Shadow Ball']",['Psyshock'],[],"['Zen Headbutt', 'Confusion']",Normal,Hypno
"['Vice Grip', 'Bubble Beam', 'Water Pulse', 'Razor Shell']",[],[],"['Bubble', 'Mud Shot']",Normal,Krabby
"['Vice Grip', 'X Scissor', 'Water Pulse', 'Crabhammer', 'Razor Shell']",[],['Mud Shot'],"['Bubble', 'Metal Claw']",Normal,Kingler
"['Swift', 'Thunderbolt', 'Energy Ball']",[],[],"['Charge Beam', 'Tackle']",Hisuian,Voltorb
"['Discharge', 'Thunderbolt', 'Gyro Ball']",['Signal Beam'],[],"['Spark', 'Tackle']",Normal,Voltorb
"['Swift', 'Wild Charge', 'Energy Ball']",[],[],"['Thunder Shock', 'Tackle']",Hisuian,Electrode
"['Discharge', 'Thunderbolt', 'Hyper Beam', 'Foul Play']",[],['Tackle'],"['Spark', 'Volt Switch']",Normal,Electrode
"['Seed Bomb', 'Psychic', 'Ancient Power']",[],[],"['Confusion', 'Bullet Seed']",Normal,Exeggcute
"['Seed Bomb', 'Dragon Pulse', 'Solar Beam']",['Draco Meteor'],[],"['Bullet Seed', 'Dragon Tail']",Alola,Exeggutor
"['Seed Bomb', 'Psychic', 'Solar Beam']",[],['Zen Headbutt'],"['Bullet Seed', 'Extrasensory', 'Confusion']",Normal,Exeggutor
"['Bone Club', 'Dig', 'Bulldoze']",[],[],"['Mud Slap', 'Rock Smash']",Normal,Cubone
"['Bone Club', 'Shadow Ball', 'Fire Blast', 'Flame Wheel']",['Shadow Bone'],[],"['Hex', 'Rock Smash', 'Fire Spin']",Alola,Marowak
"['Bone Club', 'Dig', 'Earthquake', 'Rock Slide']",[],[],"['Mud Slap', 'Rock Smash']",Normal,Marowak
"['Close Combat', 'Low Sweep', 'Stone Edge', 'Blaze Kick']","['Stomp', 'Brick Break']",[],"['Low Kick', 'Rock Smash', 'Double Kick']",Normal,Hitmonlee
"['Fire Punch', 'Ice Punch', 'Thunder Punch', 'Close Combat', 'Power Up Punch']",['Brick Break'],['Rock Smash'],"['Bullet Punch', 'Counter']",Normal,Hitmonchan
"['Hyper Beam', 'Stomp', 'Power Whip']",['Body Slam'],[],"['Lick', 'Zen Headbutt']",Normal,Lickitung
"['Sludge', 'Sludge Bomb', 'Dark Pulse']",[],[],"['Tackle', 'Infestation']",Normal,Koffing
"['Sludge', 'Hyper Beam', 'Play Rough', 'Hyper Beam', 'Overheat', 'Brutal Swing']",[],[],"['Tackle', 'Fairy Wind']",Galarian,Weezing
"['Sludge Bomb', 'Shadow Ball', 'Dark Pulse', 'Thunderbolt']",[],[],"['Tackle', 'Infestation']",Normal,Weezing
"['Bulldoze', 'Horn Attack', 'Stomp']",[],[],"['Mud Slap', 'Rock Smash']",Normal,Rhyhorn
"['Surf', 'Earthquake', 'Stone Edge', 'Breaking Swipe']",['Megahorn'],[],"['Mud Slap', 'Rock Smash']",Normal,Rhydon
"['Psychic', 'Hyper Beam', 'Dazzling Gleam']",[],[],"['Pound', 'Zen Headbutt']",Normal,Chansey
"['Grass Knot', 'Sludge Bomb', 'Solar Beam']",['Power Whip'],[],"['Vine Whip', 'Infestation']",Normal,Tangela
"['Crunch', 'Earthquake', 'Outrage', 'Power Up Punch']","['Brick Break', 'Stomp']",[],"['Mud Slap', 'Low Kick']",Normal,Kangaskhan
"['Bubble Beam', 'Dragon Pulse', 'Flash Cannon']",[],[],"['Water Gun', 'Bubble']",Normal,Horsea
"['Aurora Beam', 'Dragon Pulse', 'Hydro Pump']",['Blizzard'],[],"['Water Gun', 'Dragon Breath']",Normal,Seadra
"['Water Pulse', 'Horn Attack', 'Aqua Tail']",[],[],"['Peck', 'Mud Shot']",Normal,Goldeen
"['Ice Beam', 'Water Pulse', 'Megahorn']","['Icy Wind', 'Drill Run']",['Poison Jab'],"['Peck', 'Waterfall']",Normal,Seaking
"['Swift', 'Bubble Beam', 'Power Gem']",[],[],"['Tackle', 'Water Gun']",Normal,Staryu
"['Hydro Pump', 'Power Gem', 'Psychic', 'Thunder', 'Ice Beam', 'Psybeam']",[],['Tackle'],"['Hidden Power', 'Water Gun']",Normal,Starmie
