name,defender_level,IV_atk,IV_def,IV_sta,CP,HP,TDO,DPT,DPE,type_1,type_2,fm_type,cm1_type,cm2_type,battle_score,viable
Alakazam,45,10,15,15,3197,131,81.91,9.49,1.54,Psychic,,Psychic,Fighting,Psychic,0.022,0
Alakazam,50,10,15,15,3396,135,95.26,9.78,1.58,Psychic,,Psychic,Fighting,Psychic,0.044,0
Alakazam,30,15,10,10,2544,114,45.75,8.67,1.4,Psychic,,Psychic,Fighting,Psychic,0.0,0
Alakazam,35,15,10,10,2756,118,55.86,9.02,1.46,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,40,15,10,10,2968,123,67.25,9.36,1.52,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,45,15,10,10,3159,127,78.53,9.65,1.56,Psychic,,Psychic,Fighting,Psychic,0.022,0
Alakazam,50,15,10,10,3356,131,91.36,9.96,1.61,Psychic,,Psychic,Fighting,Psychic,0.044,0
Alakazam,30,15,10,15,2585,117,47.22,8.67,1.4,Psychic,,Psychic,Fighting,Psychic,0.0,0
Alakazam,35,15,10,15,2800,122,57.66,9.02,1.46,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,40,15,10,15,3015,127,69.4,9.36,1.52,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,45,15,10,15,3209,131,81.04,9.65,1.56,Psychic,,Psychic,Fighting,Psychic,0.022,0
Alakazam,50,15,10,15,3409,135,94.29,9.96,1.61,Psychic,,Psychic,Fighting,Psychic,0.044,0
Alakazam,30,15,15,10,2580,114,47.04,8.67,1.4,Psychic,,Psychic,Fighting,Psychic,0.0,0
Alakazam,35,15,15,10,2795,118,57.44,9.02,1.46,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,40,15,15,10,3010,123,69.15,9.36,1.52,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,45,15,15,10,3203,127,80.74,9.65,1.56,Psychic,,Psychic,Fighting,Psychic,0.022,0
Alakazam,50,15,15,10,3403,131,93.95,9.96,1.61,Psychic,,Psychic,Fighting,Psychic,0.044,0
Alakazam,30,15,15,15,2621,117,48.54,8.67,1.4,Psychic,,Psychic,Fighting,Psychic,0.0,0
Alakazam,35,15,15,15,2839,122,59.28,9.02,1.46,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,40,15,15,15,3058,127,71.36,9.36,1.52,Psychic,,Psychic,Fighting,Psychic,0.011,0
Alakazam,45,15,15,15,3254,131,83.34,9.65,1.56,Psychic,,Psychic,Fighting,Psychic,0.022,0
Alakazam,50,15,15,15,3457,135,96.96,9.96,1.61,Psychic,,Psychic,Fighting,Psychic,0.044,0
Machamp,30,10,10,10,2502,158,70.85,9.14,1.52,Fighting,,Fighting,Fighting,Dark,0.022,0
Machamp,35,10,10,10,2710,165,86.57,9.52,1.59,Fighting,,Fighting,Fighting,Dark,0.066,0
Machamp,40,10,10,10,2918,171,104.18,9.88,1.64,Fighting,,Fighting,Fighting,Dark,0.165,0
Machamp,45,10,10,10,3106,176,121.7,10.18,1.7,Fighting,,Fighting,Fighting,Dark,0.231,0
Machamp,50,10,10,10,3299,182,141.64,10.5,1.75,Fighting,,Fighting,Fighting,Dark,0.396,1
Machamp,30,10,10,15,2530,162,72.48,9.14,1.52,Fighting,,Fighting,Fighting,Dark,0.022,0
Machamp,35,10,10,15,2741,169,88.57,9.52,1.59,Fighting,,Fighting,Fighting,Dark,0.077,0
Machamp,40,10,10,15,2952,175,106.58,9.88,1.64,Fighting,,Fighting,Fighting,Dark,0.165,0
Machamp,45,10,10,15,3142,180,124.51,10.18,1.7,Fighting,,Fighting,Fighting,Dark,0.264,1
Machamp,50,10,10,15,3337,186,144.91,10.5,1.75,Fighting,,Fighting,Fighting,Dark,0.407,1
Machamp,30,10,15,10,2538,158,72.95,9.14,1.52,Fighting,,Fighting,Fighting,Dark,0.022,0
Machamp,35,10,15,10,2750,165,89.14,9.52,1.59,Fighting,,Fighting,Fighting,Dark,0.077,0
Machamp,40,10,15,10,2961,171,107.26,9.88,1.64,Fighting,,Fighting,Fighting,Dark,0.165,0
Machamp,45,10,15,10,3152,176,125.3,10.18,1.7,Fighting,,Fighting,Fighting,Dark,0.264,1
Machamp,50,10,15,10,3348,182,145.83,10.5,1.75,Fighting,,Fighting,Fighting,Dark,0.418,1
Machamp,30,10,15,15,2567,162,74.62,9.14,1.52,Fighting,,Fighting,Fighting,Dark,0.022,0
Machamp,35,10,15,15,2781,169,91.19,9.52,1.59,Fighting,,Fighting,Fighting,Dark,0.099,0
Machamp,40,10,15,15,2995,175,109.72,9.88,1.64,Fighting,,Fighting,Fighting,Dark,0.209,0
Machamp,45,10,15,15,3188,180,128.19,10.18,1.7,Fighting,,Fighting,Fighting,Dark,0.275,1
Machamp,50,10,15,15,3386,186,149.2,10.5,1.75,Fighting,,Fighting,Fighting,Dark,0.44,1
Machamp,30,15,10,10,2553,158,72.32,9.33,1.56,Fighting,,Fighting,Fighting,Dark,0.022,0
Machamp,35,15,10,10,2766,165,88.4,9.72,1.62,Fighting,,Fighting,Fighting,Dark,0.077,0
Machamp,40,15,10,10,2978,171,106.34,10.08,1.68,Fighting,,Fighting,Fighting,Dark,0.165,0
Machamp,45,15,10,10,3170,176,124.27,10.4,1.73,Fighting,,Fighting,Fighting,Dark,0.264,1
Machamp,50,15,10,10,3367,182,144.48,10.72,1.78,Fighting,,Fighting,Fighting,Dark,0.418,1
Machamp,30,15,10,15,2582,162,73.98,9.33,1.56,Fighting,,Fighting,Fighting,Dark,0.022,0
Machamp,35,15,10,15,2797,169,90.43,9.72,1.62,Fighting,,Fighting,Fighting,Dark,0.099,0
Machamp,40,15,10,15,3012,175,108.79,10.08,1.68,Fighting,,Fighting,Fighting,Dark,0.176,0
Machamp,45,15,10,15,3206,180,127.14,10.4,1.73,Fighting,,Fighting,Fighting,Dark,0.275,1
Machamp,50,15,10,15,3406,186,147.8,10.72,1.78,Fighting,,Fighting,Fighting,Dark,0.429,1
Machamp,30,15,15,10,2590,158,74.46,9.33,1.56,Fighting,,Fighting,Fighting,Dark,0.022,0
Machamp,35,15,15,10,2806,165,91.01,9.72,1.62,Fighting,,Fighting,Fighting,Dark,0.099,0
Machamp,40,15,15,10,3022,171,109.48,10.08,1.68,Fighting,,Fighting,Fighting,Dark,0.176,0
Machamp,45,15,15,10,3216,176,127.95,10.4,1.73,Fighting,,Fighting,Fighting,Dark,0.275,1
Machamp,50,15,15,10,3416,182,148.75,10.72,1.78,Fighting,,Fighting,Fighting,Dark,0.44,1
Machamp,30,15,15,15,2620,162,76.18,9.33,1.56,Fighting,,Fighting,Fighting,Dark,0.022,0
Machamp,35,15,15,15,2838,169,93.1,9.72,1.62,Fighting,,Fighting,Fighting,Dark,0.099,0
Machamp,40,15,15,15,3057,175,112.01,10.08,1.68,Fighting,,Fighting,Fighting,Dark,0.209,0
Machamp,45,15,15,15,3253,180,130.9,10.4,1.73,Fighting,,Fighting,Fighting,Dark,0.297,1
Machamp,50,15,15,15,3456,186,152.18,10.72,1.78,Fighting,,Fighting,Fighting,Dark,0.473,1
Golem,30,10,10,10,2413,146,74.52,10.5,1.86,Rock,Electric,Rock,Rock,Electric,0.066,0
Golem,35,10,10,10,2614,152,91.0,10.93,1.94,Rock,Electric,Rock,Rock,Electric,0.077,0
Golem,40,10,10,10,2815,158,109.48,11.34,2.01,Rock,Electric,Rock,Rock,Electric,0.176,0
Golem,45,10,10,10,2996,163,127.99,11.7,2.07,Rock,Electric,Rock,Rock,Electric,0.253,1
Golem,50,10,10,10,3183,168,148.86,12.07,2.13,Rock,Electric,Rock,Rock,Electric,0.352,1
Golem,30,10,10,15,2443,149,76.38,10.5,1.86,Rock,Electric,Rock,Rock,Electric,0.066,0
Golem,35,10,10,15,2647,156,93.28,10.93,1.94,Rock,Electric,Rock,Rock,Electric,0.077,0
Golem,40,10,10,15,2850,162,112.21,11.34,2.01,Rock,Electric,Rock,Rock,Electric,0.176,0
Golem,45,10,10,15,3033,167,131.2,11.7,2.07,Rock,Electric,Rock,Rock,Electric,0.253,1
Golem,50,10,10,15,3222,172,152.59,12.07,2.13,Rock,Electric,Rock,Rock,Electric,0.374,1
Golem,30,10,15,10,2442,146,76.31,10.5,1.86,Rock,Electric,Rock,Rock,Electric,0.066,0
Golem,35,10,15,10,2646,152,93.19,10.93,1.94,Rock,Electric,Rock,Rock,Electric,0.077,0
Golem,40,10,15,10,2849,158,112.1,11.34,2.01,Rock,Electric,Rock,Rock,Electric,0.176,0
Golem,45,10,15,10,3032,163,131.07,11.7,2.07,Rock,Electric,Rock,Rock,Electric,0.253,1
Golem,50,10,15,10,3221,168,152.44,12.07,2.13,Rock,Electric,Rock,Rock,Electric,0.374,1
Golem,30,10,15,15,2472,149,78.22,10.5,1.86,Rock,Electric,Rock,Rock,Electric,0.066,0
Golem,35,10,15,15,2678,156,95.52,10.93,1.94,Rock,Electric,Rock,Rock,Electric,0.077,0
Golem,40,10,15,15,2884,162,114.9,11.34,2.01,Rock,Electric,Rock,Rock,Electric,0.176,0
Golem,45,10,15,15,3070,167,134.34,11.7,2.07,Rock,Electric,Rock,Rock,Electric,0.275,1
Golem,50,10,15,15,3261,172,156.26,12.07,2.13,Rock,Electric,Rock,Rock,Electric,0.396,1
Golem,30,15,10,10,2468,146,76.19,10.74,1.9,Rock,Electric,Rock,Rock,Electric,0.066,0
Golem,35,15,10,10,2673,152,93.08,11.18,1.98,Rock,Electric,Rock,Rock,Electric,0.077,0
Golem,40,15,10,10,2879,158,111.98,11.6,2.05,Rock,Electric,Rock,Rock,Electric,0.176,0
Golem,45,15,10,10,3064,163,130.88,11.97,2.12,Rock,Electric,Rock,Rock,Electric,0.253,1
Golem,50,15,10,10,3255,168,152.2,12.34,2.18,Rock,Electric,Rock,Rock,Electric,0.363,1
Golem,30,15,10,15,2499,149,78.09,10.74,1.9,Rock,Electric,Rock,Rock,Electric,0.066,0
Golem,35,15,10,15,2707,156,95.41,11.18,1.98,Rock,Electric,Rock,Rock,Electric,0.088,0
Golem,40,15,10,15,2915,162,114.78,11.6,2.05,Rock,Electric,Rock,Rock,Electric,0.176,0
Golem,45,15,10,15,3102,167,134.16,11.97,2.12,Rock,Electric,Rock,Rock,Electric,0.275,1
Golem,50,15,10,15,3295,172,156.0,12.34,2.18,Rock,Electric,Rock,Rock,Electric,0.385,1
Golem,30,15,15,10,2497,146,78.02,10.74,1.9,Rock,Electric,Rock,Rock,Electric,0.066,0
Golem,35,15,15,10,2705,152,95.32,11.18,1.98,Rock,Electric,Rock,Rock,Electric,0.077,0
Golem,40,15,15,10,2913,158,114.68,11.6,2.05,Rock,Electric,Rock,Rock,Electric,0.176,0
Golem,45,15,15,10,3101,163,134.03,11.97,2.12,Rock,Electric,Rock,Rock,Electric,0.275,1
Golem,50,15,15,10,3294,168,155.86,12.34,2.18,Rock,Electric,Rock,Rock,Electric,0.385,1
Golem,30,15,15,15,2528,149,79.97,10.74,1.9,Rock,Electric,Rock,Rock,Electric,0.066,0
Golem,35,15,15,15,2739,156,97.7,11.18,1.98,Rock,Electric,Rock,Rock,Electric,0.132,0
Golem,40,15,15,15,2950,162,117.54,11.6,2.05,Rock,Electric,Rock,Rock,Electric,0.187,0
Golem,45,15,15,15,3139,167,137.38,11.97,2.12,Rock,Electric,Rock,Rock,Electric,0.297,1
Golem,50,15,15,15,3335,172,159.75,12.34,2.18,Rock,Electric,Rock,Rock,Electric,0.418,1
Golem,30,10,10,10,2413,146,72.02,9.06,1.62,Rock,Ground,Ground,Rock,Ground,0.055,0
Golem,35,10,10,10,2614,152,87.98,9.43,1.68,Rock,Ground,Ground,Rock,Ground,0.088,0
Golem,40,10,10,10,2815,158,105.86,9.78,1.74,Rock,Ground,Ground,Rock,Ground,0.143,0
Golem,45,10,10,10,2996,163,123.7,10.1,1.8,Rock,Ground,Ground,Rock,Ground,0.165,0
Golem,50,10,10,10,3183,168,143.87,10.4,1.86,Rock,Ground,Ground,Rock,Ground,0.264,1
Golem,30,10,10,15,2443,149,73.82,9.06,1.62,Rock,Ground,Ground,Rock,Ground,0.055,0
Golem,35,10,10,15,2647,156,90.18,9.43,1.68,Rock,Ground,Ground,Rock,Ground,0.099,0
